,DateTime,Time,theta1,theta2,theta3,theta4,theta5,theta6
0,2022-11-23-17:19:46,17:19:46,-3.2890824836882224e-16,0.0,0.0,0.0,0.0,0.0
1,2022-11-23-17:19:47,17:19:47,-20.816775857281087,7.737347959128121,8.580437791228777,-54.967519436940215,-20.831875215056076,54.71531666850234
